"","lemma","Polarity","Emotion_Category","Personality"
"617","保住性命","P","",NA
"618","保住一命","P","",NA
"619","飽經風霜","N","2",NA
"620","飽受批評","N","",NA
"621","飽受批評","N","",NA
"622","飽受輿論批評","N","4",NA
"623","飽受輿論批評","N","2",NA
"624","飽眼福","P","1",NA
"625","寶寶","P","",NA
"626","寶貝","P","1",NA
"627","寶貝","P","1",NA
"628","寶貴","P","1",NA
"629","寶貴","P","1",NA
"630","寶重","P","1",NA
"631","寶座","P","",NA
"632","寶座","P","1",NA
"633","抱","0","",NA
"634","抱抱","P","1",NA
"635","抱抱他","P","1",NA
"636","抱不平","N","4",NA
"637","抱不平","P",NA,NA
"638","抱粗腿","N","4",4
"639","抱大腿","N","4",4
"640","抱恨","N","4",NA
"641","抱恨終身","N","2",NA
"642","抱恨終天","N","2",NA
"643","抱愧","N","2",NA
"644","抱歉","N","2",NA
"645","抱屈","N","2",NA
"646","抱人家大腿","N","",NA
"647","抱頭痛哭","N","2",NA
"648","抱委屈","N","2",NA
"649","抱我","P","",NA
"650","抱怨","N","4",NA
"651","抱著一絲希望","","4",NA
"652","抱著一絲希望","N","3",NA
"653","抱住我","P","",NA
"654","報案","","4",NA
"655","報案","N","3",NA
"656","報仇","","4",NA
"657","報仇","N","4",NA
"658","報恩","P","",NA
"659","報廢","N","",NA
"660","報復","N","4",NA
"661","報警","","2,4",NA
"662","報警","N","3",NA
"663","報愧","N","2",NA
"664","報銷","N","",NA
"665","報銷","N","",NA
"666","報顏","N","2",NA
"667","報應","N","4",NA
"668","暴","N","4",4
"669","暴斃","","3,4",NA
"670","暴斃","N","3",NA
"671","暴力","N","2,3,4",NA
"672","暴力","N","4",NA
"673","暴力分子","N","3",NA
"674","暴力分子","N","2",NA
"675","暴力組織","","4",NA
"676","暴力組織","N","3",NA
"677","暴戾","N","4",4
"678","暴戾恣睢","N","4",4
"679","暴烈","N","4",4
"680","暴怒","N","4",NA
"681","暴虐","N","4",4
"682","暴跳如雷","N","4",NA
"683","暴躁","N","2",NA
"684","暴躁","N","4",NA
"685","暴增","N","",NA
"686","暴漲","N","",NA
"687","暴走","N","",NA
"688","爆粗口","","2,4",NA
"689","爆粗口","N","4",NA
"690","爆發","N","4",NA
"691","爆發","N","4,5",NA
"692","爆肝","N","",NA
"693","爆紅","P","1",NA
"694","爆紅","P","1",NA
"695","爆開","N","",NA
"696","爆料","0","5",NA
"697","爆料","N","5",NA
"698","爆裂聲","N","3",NA
"699","爆炸","N","3",NA
"700","爆炸","N","3,4",NA
"701","爆照","P","1",NA
"702","爆走","","4",NA
"703","卑鄙","N","4",NA
"704","卑躬屈膝","N","",NA
"705","卑劣","N","4",NA
"706","卑怯","N","2",2
"707","卑讓","N","2",2
"708","卑俗","N","4",4
"709","卑汙","N","4",4
"710","杯弓蛇影","N","3",NA
"711","杯水車薪","N","",NA
"712","悲","N","2",NA
"713","悲哀","N","2",NA
"714","悲慘","N","2",NA
"715","悲愁","N","2",NA
"716","悲愴","N","2",NA
"717","悲悼","N","2",NA
"718","悲憤","N","2",NA
"719","悲憤填膺","N","2",NA
"720","悲觀","N","2",NA
"721","悲歡","N","2",NA
"722","悲劇","N","2",NA
"723","悲苦","N","2",NA
"724","悲涼","N","2",NA
"725","悲憫","N","2",NA
"726","悲悽","N","2",NA
"727","悲戚","N","2",NA
"728","悲淒","N","2",NA
"729","悲慼","N","2",NA
"730","悲泣","N","2",NA
"731","悲切","N","2",NA
"732","悲情","N","2",NA
"733","悲傷","N","2",NA
"734","悲傷欲絕","N","2",NA
"735","悲酸","N","2",NA
"736","悲歎","N","2",NA
"737","悲天憫人","N","2",NA
"738","悲痛","N","2",NA
