"","lemma","Polarity","Emotion_Category","Personality"
"33438","冰壶秋月","P",NA,NA
"33439","冰魂素魄","P",NA,NA
"33440","冰肌玉骨","P",NA,NA
"33441","冰壸秋月","P",NA,NA
"33442","冰释","P",NA,NA
"33443","冰心","P",NA,NA
"33444","兵家","P",NA,NA
"33445","兵舰","P",NA,NA
"33446","兵强将勇","P",NA,NA
"33447","兵强则灭","P",NA,NA
"33448","兵未血刃","P",NA,NA
"33449","兵无血刃","P",NA,NA
"33450","兵销革偃","P",NA,NA
"33451","秉笔直书","P",NA,NA
"33452","秉承","P",NA,NA
"33453","秉持公正","P",NA,NA
"33454","秉公","P",NA,NA
"33455","秉公办理","P",NA,NA
"33456","秉公无私","P",NA,NA
"33457","秉正","P",NA,NA
"33458","秉直","P",NA,NA
"33459","炳炳麟磷","P",NA,NA
"33460","炳耀","P",NA,NA
"33461","饼干","P",NA,NA
"33462","饼子","P",NA,NA
"33463","禀呈","P",NA,NA
"33464","禀承","P",NA,NA
"33465","禀赋","P",NA,NA
"33466","并蒂芙蓉","P",NA,NA
"33467","并发","P",NA,NA
"33468","并驾齐驱","P",NA,NA
"33469","并肩作战","P",NA,NA
"33470","并疆兼巷","P",NA,NA
"33471","并进","P",NA,NA
"33472","并力","P",NA,NA
"33473","并辔","P",NA,NA
"33474","并容徧覆","P",NA,NA
"33475","并世","P",NA,NA
"33476","并世无两","P",NA,NA
"33477","并行不悖","P",NA,NA
"33478","并重","P",NA,NA
"33479","拨草瞻风","P",NA,NA
"33480","拨乱反正","P",NA,NA
"33481","拨乱反治","P",NA,NA
"33482","拨乱为治","P",NA,NA
"33483","波光粼粼","P",NA,NA
"33484","波澜老成","P",NA,NA
"33485","波澜壮阔","P",NA,NA
"33486","剥极则复","P",NA,NA
"33487","剥茧抽丝","P",NA,NA
"33488","菠萝园","P",NA,NA
"33489","播扬","P",NA,NA
"33490","伯乐一顾","P",NA,NA
"33491","驳倒","P",NA,NA
"33492","勃勃生机","P",NA,NA
"33493","博爱","P",NA,NA
"33494","博爱者","P",NA,NA
"33495","博大","P",NA,NA
"33496","博大胸怀","P",NA,NA
"33497","博古通今","P",NA,NA
"33498","博览古今","P",NA,NA
"33499","博览五车","P",NA,NA
"33500","博识","P",NA,NA
"33501","博闻","P",NA,NA
"33502","博闻强记","P",NA,NA
"33503","博闻强识","P",NA,NA
"33504","博闻强志","P",NA,NA
"33505","博物洽闻","P",NA,NA
"33506","博学","P",NA,NA
"33507","搏大精深","P",NA,NA
"33508","搏击","P",NA,NA
"33509","跛鳖千里","P",NA,NA
"33510","补偿","P",NA,NA
"33511","补充","P",NA,NA
"33512","补给","P",NA,NA
"33513","补济","P",NA,NA
"33514","补偏救弊","P",NA,NA
"33515","补情","P",NA,NA
"33516","补缺","P",NA,NA
"33517","补台","P",NA,NA
"33518","补养","P",NA,NA
"33519","补遗","P",NA,NA
"33520","补益","P",NA,NA
"33521","补助","P",NA,NA
"33522","补足","P",NA,NA
"33523","哺养","P",NA,NA
"33524","不败之地","P",NA,NA
"33525","不卑不亢","P",NA,NA
"33526","不避斧铽","P",NA,NA
"33527","不避艰险","P",NA,NA
"33528","不避水火","P",NA,NA
"33529","不步人脚","P",NA,NA
"33530","不差毫发","P",NA,NA
"33531","不成为问题","P",NA,NA
"33532","不痴不聋","P",NA,NA
"33533","不耻下问","P",NA,NA
"33534","不耻最后","P",NA,NA
"33535","不揣冒昧","P",NA,NA
"33536","不存芥蒂","P",NA,NA
"33537","不错","P",NA,NA
"33538","不错眼","P",NA,NA
"33539","不大离","P",NA,NA
"33540","不得不依赖","P",NA,NA
"33541","不得其所","P",NA,NA
"33542","不动摇","P",NA,NA
"33543","不恶而严","P",NA,NA
"33544","不乏","P",NA,NA
"33545","不伐其功","P",NA,NA
"33546","不法常可","P",NA,NA
"33547","不凡的人","P",NA,NA
"33548","不废江河","P",NA,NA
"33549","不费力","P",NA,NA
"33550","不分彼此","P",NA,NA
"33551","不丰不杀","P",NA,NA
"33552","不甘雌伏","P",NA,NA
"33553","不甘后人","P",NA,NA
"33554","不敢当","P",NA,NA
"33555","不敢告劳","P",NA,NA
"33556","不苟","P",NA,NA
"33557","不含糊","P",NA,NA
"33558","不患","P",NA,NA
"33559","不慌忙","P",NA,NA
"33560","不会弄错","P",NA,NA
"33561","不会受伤害","P",NA,NA
"33562","不讳之朝","P",NA,NA
"33563","不讳之路","P",NA,NA
"33564","不讳之门","P",NA,NA
"33565","不惑","P",NA,NA
"33566","不即不离","P",NA,NA
"33567","不简单","P",NA,NA
"33568","不骄不躁","P",NA,NA
"33569","不解之缘","P",NA,NA
"33570","不拘泥","P",NA,NA
"33571","不拘形迹","P",NA,NA
"33572","不拘一格","P",NA,NA
"33573","不刊之论","P",NA,NA
"33574","不看僧面看佛面","P",NA,NA
"33575","不亢不卑","P",NA,NA
"33576","不可动摇","P",NA,NA
"33577","不可多得","P",NA,NA
"33578","不可名状","P",NA,NA
"33579","不可磨灭","P",NA,NA
"33580","不可侵犯","P",NA,NA
"33581","不可胜言","P",NA,NA
"33582","不可言传","P",NA,NA
"33583","不媿下学","P",NA,NA
"33584","不愧不作","P",NA,NA
"33585","不愧屋漏","P",NA,NA
"33586","不赖","P",NA,NA
"33587","不磷不缁","P",NA,NA
"33588","不吝金玉","P",NA,NA
"33589","不露圭角","P",NA,NA
"33590","不露斤斧","P",NA,NA
"33591","不露声色","P",NA,NA
"33592","不落窠臼","P",NA,NA
"33593","不落俗套","P",NA,NA
"33594","不蔓不支","P",NA,NA
"33595","不蔓不枝","P",NA,NA
"33596","不名一格","P",NA,NA
"33597","不谋私利","P",NA,NA
"33598","不挠不屈","P",NA,NA
"33599","不挠不折","P",NA,NA
"33600","不能赞一词","P",NA,NA
"33601","不偏不党","P",NA,NA
"33602","不平则鸣","P",NA,NA
"33603","不迫","P",NA,NA
"33604","不期","P",NA,NA
"33605","不欺暗室","P",NA,NA
"33606","不欺闇室","P",NA,NA
"33607","不屈不挠","P",NA,NA
"33608","不屈不饶","P",NA,NA
"33609","不屈服","P",NA,NA
"33610","不染一尘","P",NA,NA
"33611","不任性","P",NA,NA
"33612","不容置辩","P",NA,NA
"33613","不辱使命","P",NA,NA
"33614","不舍","P",NA,NA
"33615","不胜欣忭","P",NA,NA
"33616","不失毫厘","P",NA,NA
"33617","不失为","P",NA,NA
"33618","不时之需","P",NA,NA
"33619","不食烟火","P",NA,NA
"33620","不食周粟","P",NA,NA
"33621","不世之功","P",NA,NA
"33622","不受约束","P",NA,NA
"33623","不爽毫发","P",NA,NA
"33624","不爽累黍","P",NA,NA
"33625","不私其利","P",NA,NA
"33626","不俗","P",NA,NA
"33627","不祧之宗","P",NA,NA
"33628","不祧之祖","P",NA,NA
"33629","不同凡响","P",NA,NA
"33630","不同流俗","P",NA,NA
"33631","不图","P",NA,NA
"33632","不吐不茹","P",NA,NA
"33633","不忘沟壑","P",NA,NA
"33634","不忘故剑","P",NA,NA
"33635","不为瓦全","P",NA,NA
"33636","不为五斗米折腰","P",NA,NA
"33637","不畏艰险","P",NA,NA
"33638","不畏强暴","P",NA,NA
"33639","不谓","P",NA,NA
"33640","不无裨益","P",NA,NA
"33641","不武断","P",NA,NA
"33642","不务空名","P",NA,NA
"33643","不泄气","P",NA,NA
"33644","不懈","P",NA,NA
"33645","不懈怠","P",NA,NA
"33646","不朽","P",NA,NA
"33647","不须","P",NA,NA
"33648","不徐不疾","P",NA,NA
"33649","不徇私情","P",NA,NA
"33650","不言而信","P",NA,NA
"33651","不厌","P",NA,NA
"33652","不厌其烦","P",NA,NA
"33653","不厌其详","P",NA,NA
"33654","不夷不惠","P",NA,NA
"33655","不遗巨细","P",NA,NA
"33656","不遗余力","P",NA,NA
"33657","不遗馀力","P",NA,NA
"33658","不以人废言","P",NA,NA
"33659","不以一眚掩大德","P",NA,NA
"33660","不易之论","P",NA,NA
"33661","不用","P",NA,NA
"33662","不犹豫","P",NA,NA
"33663","不远千里","P",NA,NA
"33664","不在话下","P",NA,NA
"33665","不召而来","P",NA,NA
"33666","不折不扣","P",NA,NA
"33667","不争","P",NA,NA
"33668","不知疲倦","P",NA,NA
"33669","不知寝食","P",NA,NA
"33670","不知肉味","P",NA,NA
"33671","不忮不求","P",NA,NA
"33672","不栉进士","P",NA,NA
"33673","不主故常","P",NA,NA
"33674","不自满假","P",NA,NA
"33675","不自私","P",NA,NA
"33676","布施","P",NA,NA
"33677","布衣疏食","P",NA,NA
"33678","步步生莲华","P",NA,NA
"33679","部署","P",NA,NA
"33680","才调","P",NA,NA
"33681","才调秀出","P",NA,NA
"33682","才分","P",NA,NA
"33683","才赋","P",NA,NA
"33684","才干","P",NA,NA
"33685","才高八斗","P",NA,NA
"33686","才高七步","P",NA,NA
"33687","才高气清","P",NA,NA
"33688","才高意广","P",NA,NA
"33689","才华横溢","P",NA,NA
"33690","才誇八斗","P",NA,NA
"33691","才路","P",NA,NA
"33692","才略过人","P",NA,NA
"33693","才貌","P",NA,NA
"33694","才貌双全","P",NA,NA
"33695","才名","P",NA,NA
"33696","才女","P",NA,NA
"33697","才气","P",NA,NA
"33698","才气过人","P",NA,NA
"33699","才气横溢","P",NA,NA
"33700","才情","P",NA,NA
"33701","才识","P",NA,NA
"33702","才识过人","P",NA,NA
"33703","才疏志大","P",NA,NA
"33704","才思","P",NA,NA
"33705","才望","P",NA,NA
"33706","才学兼优","P",NA,NA
"33707","才艺","P",NA,NA
"33708","才子","P",NA,NA
"33709","材高知深","P",NA,NA
"33710","材士练兵","P",NA,NA
"33711","财宝","P",NA,NA
"33712","财产","P",NA,NA
"33713","财富","P",NA,NA
"33714","财礼","P",NA,NA
"33715","财路","P",NA,NA
"33716","财气","P",NA,NA
"33717","财喜","P",NA,NA
"33718","财运","P",NA,NA
"33719","财运亨通","P",NA,NA
"33720","采风","P",NA,NA
"33721","采菊东篱下","P",NA,NA
"33722","采纳","P",NA,NA
"33723","彩车","P",NA,NA
"33724","彩绸","P",NA,NA
"33725","彩带","P",NA,NA
"33726","彩灯","P",NA,NA
"33727","彩礼","P",NA,NA
"33728","彩楼","P",NA,NA
"33729","彩门","P",NA,NA
"33730","彩牌","P",NA,NA
"33731","彩旗","P",NA,NA
"33732","彩霞","P",NA,NA
"33733","彩云","P",NA,NA
"33734","参拜","P",NA,NA
"33735","参加","P",NA,NA
"33736","参天大树","P",NA,NA
"33737","参天贰地","P",NA,NA
"33738","参天两地","P",NA,NA
"33739","参谒","P",NA,NA
"33740","参与","P",NA,NA
"33741","餐风露宿","P",NA,NA
"33742","惨淡经营","P",NA,NA
"33743","惨绿年华","P",NA,NA
"33744","惨绿少年","P",NA,NA
"33745","灿烂","P",NA,NA
"33746","灿烂夺目","P",NA,NA
"33747","灿然","P",NA,NA
"33748","灿若云霞","P",NA,NA
"33749","粲然","P",NA,NA
"33750","璨然","P",NA,NA
"33751","苍劲","P",NA,NA
"33752","苍茫","P",NA,NA
"33753","苍旻","P",NA,NA
"33754","苍穹","P",NA,NA
"33755","苍郁","P",NA,NA
"33756","藏龙卧虎","P",NA,NA
"33757","藏器待时","P",NA,NA
"33758","操持","P",NA,NA
"33759","操刀必割","P",NA,NA
"33760","操劳","P",NA,NA
"33761","草创","P",NA,NA
"33762","草木知威","P",NA,NA
"33763","草圣","P",NA,NA
"33764","草长莺飞","P",NA,NA
"33765","侧重","P",NA,NA
"33766","恻隐之心","P",NA,NA
"33767","策略","P",NA,NA
"33768","策勉","P",NA,NA
"33769","插身","P",NA,NA
"33770","查看","P",NA,NA
"33771","查实","P",NA,NA
"33772","茶树","P",NA,NA
"33773","茶碗","P",NA,NA
"33774","茶叶","P",NA,NA
"33775","茶园","P",NA,NA
"33776","察访","P",NA,NA
"33777","察觉","P",NA,NA
"33778","姹紫嫣红","P",NA,NA
"33779","柴立不阿","P",NA,NA
"33780","搀扶","P",NA,NA
"33781","婵娟","P",NA,NA
"33782","禅世雕龙","P",NA,NA
"33783","缠绵","P",NA,NA
"33784","蝉联","P",NA,NA
"33785","潺潺","P",NA,NA
"33786","产出","P",NA,NA
"33787","产量多","P",NA,NA
"33788","产值","P",NA,NA
"33789","阐发","P",NA,NA
"33790","阐明","P",NA,NA
"33791","阐述","P",NA,NA
"33792","阐扬","P",NA,NA
"33793","阐扬光大","P",NA,NA
"33794","昌盛","P",NA,NA
"33795","尝鼎一脔","P",NA,NA
"33796","尝鲜","P",NA,NA
"33797","偿清","P",NA,NA
"33798","常备不懈","P",NA,NA
"33799","常值","P",NA,NA
"33800","徜徉","P",NA,NA
"33801","嫦娥","P",NA,NA
"33802","敞快","P",NA,NA
"33803","敞阔","P",NA,NA
"33804","敞亮","P",NA,NA
"33805","畅达","P",NA,NA
"33806","畅快","P",NA,NA
"33807","畅适","P",NA,NA
"33808","畅抒","P",NA,NA
"33809","畅述","P",NA,NA
"33810","畅所欲言","P",NA,NA
"33811","畅谈","P",NA,NA
"33812","畅通","P",NA,NA
"33813","畅通无阻","P",NA,NA
"33814","畅旺","P",NA,NA
"33815","畅想","P",NA,NA
"33816","畅销","P",NA,NA
"33817","畅行","P",NA,NA
"33818","畅叙","P",NA,NA
"33819","畅饮","P",NA,NA
"33820","畅游","P",NA,NA
"33821","倡导","P",NA,NA
"33822","倡始","P",NA,NA
"33823","倡首","P",NA,NA
"33824","倡条冶叶","P",NA,NA
"33825","倡议","P",NA,NA
"33826","唱酬","P",NA,NA
"33827","唱喏","P",NA,NA
"33828","超拔","P",NA,NA
"33829","超产","P",NA,NA
"33830","超常","P",NA,NA
"33831","超尘拔俗","P",NA,NA
"33832","超等","P",NA,NA
"33833","超度","P",NA,NA
"33834","超额利润","P",NA,NA
"33835","超凡","P",NA,NA
"33836","超凡技术","P",NA,NA
"33837","超凡入圣","P",NA,NA
"33838","超凡脱俗","P",NA,NA
"33839","超好","P",NA,NA
"33840","超级","P",NA,NA
"33841","超绝","P",NA,NA
"33842","超绝尘寰","P",NA,NA
"33843","超前","P",NA,NA
"33844","超群绝伦","P",NA,NA
"33845","超然物外","P",NA,NA
"33846","超人","P",NA,NA
"33847","超俗","P",NA,NA
"33848","超脱","P",NA,NA
"33849","超轶绝尘","P",NA,NA
"33850","超赞","P",NA,NA
"33851","超值","P",NA,NA
"33852","超擢","P",NA,NA
"33853","朝奉","P",NA,NA
"33854","朝乾夕惕","P",NA,NA
"33855","朝过夕改","P",NA,NA
"33856","朝晖","P",NA,NA
"33857","朝气","P",NA,NA
"33858","朝气勃勃","P",NA,NA
"33859","朝气蓬勃","P",NA,NA
"33860","朝闻夕改","P",NA,NA
"33861","朝闻夕死","P",NA,NA
"33862","朝夕相处","P",NA,NA
"33863","潮流","P",NA,NA
"33864","车马盈门","P",NA,NA
"33865","彻底","P",NA,NA
"33866","彻亮","P",NA,NA
"33867","彻悟","P",NA,NA
"33868","彻夜","P",NA,NA
"33869","沈着","P",NA,NA
"33870","沉厚","P",NA,NA
"33871","沉浸于","P",NA,NA
"33872","沉静","P",NA,NA
"33873","沉潜刚克","P",NA,NA
"33874","沉思","P",NA,NA
"33875","沉稳","P",NA,NA
"33876","沉雄","P",NA,NA
"33877","沉毅","P",NA,NA
"33878","沉勇","P",NA,NA
"33879","沉鱼落雁","P",NA,NA
"33880","沉着","P",NA,NA
"33881","沉挚","P",NA,NA
"33882","陈言务去","P",NA,NA
"33883","晨昏定省","P",NA,NA
"33884","晨曦","P",NA,NA
"33885","趁热打铁","P",NA,NA
"33886","称道","P",NA,NA
"33887","称德度功","P",NA,NA
"33888","称号","P",NA,NA
"33889","称贺","P",NA,NA
"33890","称快","P",NA,NA
"33891","称美","P",NA,NA
"33892","称庆","P",NA,NA
"33893","称赏","P",NA,NA
"33894","称身","P",NA,NA
"33895","称颂","P",NA,NA
"33896","称叹","P",NA,NA
"33897","称体裁衣","P",NA,NA
"33898","称羡","P",NA,NA
"33899","称谢","P",NA,NA
"33900","称心","P",NA,NA
"33901","称心如意","P",NA,NA
"33902","称兄道弟","P",NA,NA
"33903","称雄","P",NA,NA
"33904","称许","P",NA,NA
"33905","称扬","P",NA,NA
"33906","称意","P",NA,NA
"33907","称誉","P",NA,NA
"33908","称愿","P",NA,NA
"33909","称赞","P",NA,NA
"33910","称职","P",NA,NA
"33911","撑肠拄腹","P",NA,NA
"33912","撑杆跳高","P",NA,NA
"33913","撑门柱户","P",NA,NA
"33914","撑台面","P",NA,NA
"33915","撑腰","P",NA,NA
"33916","成才","P",NA,NA
"33917","成果","P",NA,NA
"33918","成绩","P",NA,NA
"33919","成立","P",NA,NA
"33920","成癖","P",NA,NA
"33921","成亲","P",NA,NA
"33922","成全","P",NA,NA
"33923","成人之美","P",NA,NA
"33924","成诵","P",NA,NA
"33925","成为","P",NA,NA
"33926","成效","P",NA,NA
"33927","成瘾","P",NA,NA
"33928","成章","P",NA,NA
"33929","成长","P",NA,NA
"33930","成竹在胸","P",NA,NA
"33931","呈报","P",NA,NA
"33932","呈递","P",NA,NA
"33933","呈请","P",NA,NA
"33934","呈文","P",NA,NA
"33935","呈现","P",NA,NA
"33936","呈献","P",NA,NA
"33937","呈正","P",NA,NA
"33938","呈政","P",NA,NA
"33939","承担","P",NA,NA
"33940","承欢膝下","P",NA,NA
"33941","承教","P",NA,NA
"33942","承诺","P",NA,NA
"33943","承情","P",NA,NA
"33944","承头","P",NA,NA
"33945","承望","P",NA,NA
"33946","诚笃","P",NA,NA
"33947","诚服","P",NA,NA
"33948","诚恳","P",NA,NA
"33949","诚朴","P",NA,NA
"33950","诚实","P",NA,NA
"33951","诚心","P",NA,NA
"33952","诚心诚意","P",NA,NA
"33953","诚心敬意","P",NA,NA
"33954","诚意","P",NA,NA
"33955","诚意正心","P",NA,NA
"33956","诚挚","P",NA,NA
"33957","乘风波浪","P",NA,NA
"33958","乘风破浪","P",NA,NA
"33959","惩恶劝善","P",NA,NA
"33960","惩前毖后","P",NA,NA
"33961","程门立雪","P",NA,NA
"33962","澄碧","P",NA,NA
"33963","澄彻","P",NA,NA
"33964","澄澈","P",NA,NA
"33965","澄净","P",NA,NA
"33966","澄空","P",NA,NA
"33967","澄明","P",NA,NA
"33968","吃大户","P",NA,NA
"33969","吃得开","P",NA,NA
"33970","吃得来","P",NA,NA
"33971","吃得住","P",NA,NA
"33972","吃苦耐劳","P",NA,NA
"33973","吃苦在前","P",NA,NA
"33974","吃请","P",NA,NA
"33975","吃着不尽","P",NA,NA
"33976","吃著不尽","P",NA,NA
"33977","鸱目虎吻","P",NA,NA
"33978","痴痴","P",NA,NA
"33979","痴恋","P",NA,NA
"33980","痴迷","P",NA,NA
"33981","痴情","P",NA,NA
"33982","痴心","P",NA,NA
"33983","痴心不改","P",NA,NA
"33984","痴长","P",NA,NA
"33985","驰骋","P",NA,NA
"33986","驰名","P",NA,NA
"33987","驰名当世","P",NA,NA
"33988","驰名天下","P",NA,NA
"33989","驰名中外","P",NA,NA
"33990","驰念","P",NA,NA
"33991","驰思","P",NA,NA
"33992","驰誉","P",NA,NA
"33993","驰援","P",NA,NA
"33994","持家","P",NA,NA
"33995","持久","P",NA,NA
"33996","持平之论","P",NA,NA
"33997","持盈保泰","P",NA,NA
"33998","持盈守虚","P",NA,NA
"33999","持正不阿","P",NA,NA
"34000","持之以恒","P",NA,NA
"34001","持之有故","P",NA,NA
"34002","持重","P",NA,NA
"34003","持重待机","P",NA,NA
"34004","尺寸之功","P",NA,NA
"34005","尺短寸长","P",NA,NA
"34006","齿白唇红","P",NA,NA
"34007","叱咤风云","P",NA,NA
"34008","赤诚相待","P",NA,NA
"34009","赤胆","P",NA,NA
"34010","赤胆忠心","P",NA,NA
"34011","赤金","P",NA,NA
"34012","赤心报国","P",NA,NA
"34013","赤心奉国","P",NA,NA
"34014","赤心相待","P",NA,NA
"34015","赤子","P",NA,NA
"34016","炽烈","P",NA,NA
"34017","炽热","P",NA,NA
"34018","炽盛","P",NA,NA
"34019","充畅","P",NA,NA
"34020","充分","P",NA,NA
"34021","充份","P",NA,NA
"34022","充满","P",NA,NA
"34023","充满深情","P",NA,NA
"34024","充实","P",NA,NA
"34025","充溢","P",NA,NA
"34026","充盈","P",NA,NA
"34027","充裕","P",NA,NA
"34028","充足","P",NA,NA
"34029","冲锋","P",NA,NA
"34030","冲锋陷阵","P",NA,NA
"34031","冲坚毁锐","P",NA,NA
"34032","冲劲","P",NA,NA
"34033","冲破","P",NA,NA
"34034","冲霄","P",NA,NA
"34035","崇敬","P",NA,NA
"34036","崇仰","P",NA,NA
"34037","宠辱不惊","P",NA,NA
"34038","仇人快语","P",NA,NA
"34039","绸缪","P",NA,NA
"34040","筹办","P",NA,NA
"34041","筹备","P",NA,NA
"34042","筹措","P",NA,NA
"34043","筹划","P",NA,NA
"34044","筹集","P",NA,NA
"34045","筹建","P",NA,NA
"34046","筹借","P",NA,NA
"34047","筹谋","P",NA,NA
"34048","筹募","P",NA,NA
"34049","筹拍","P",NA,NA
"34050","筹商","P",NA,NA
"34051","筹议","P",NA,NA
"34052","酬报","P",NA,NA
"34053","酬宾","P",NA,NA
"34054","酬唱","P",NA,NA
"34055","酬酢","P",NA,NA
"34056","酬答","P",NA,NA
"34057","酬对","P",NA,NA
"34058","酬和","P",NA,NA
"34059","酬金","P",NA,NA
"34060","酬劳","P",NA,NA
"34061","酬谢","P",NA,NA
"34062","酬应","P",NA,NA
"34063","踌躇满志","P",NA,NA
"34064","出尘","P",NA,NA
"34065","出凡入圣","P",NA,NA
"34066","出尖","P",NA,NA
"34067","出将入相","P",NA,NA
"34068","出口不凡","P",NA,NA
"34069","出蓝","P",NA,NA
"34070","出类拔萃","P",NA,NA
"34071","出名","P",NA,NA
"34072","出其不意","P",NA,NA
"34073","出奇制胜","P",NA,NA
"34074","出人头地","P",NA,NA
"34075","出身高贵","P",NA,NA
"34076","出身名门","P",NA,NA
"34077","出神入化","P",NA,NA
"34078","出手不凡","P",NA,NA
"34079","出手得卢","P",NA,NA
"34080","出水芙蓉","P",NA,NA
"34081","出头","P",NA,NA
"34082","出息","P",NA,NA
"34083","出席","P",NA,NA
"34084","出现","P",NA,NA
"34085","出线","P",NA,NA
"34086","出新","P",NA,NA
"34087","出以公心","P",NA,NA
"34088","出迎","P",NA,NA
"34089","出淤泥而不染","P",NA,NA
"34090","出众","P",NA,NA
"34091","初度","P",NA,NA
"34092","初露锋芒","P",NA,NA
"34093","初生牛犊","P",NA,NA
"34094","初生牛犊般","P",NA,NA
"34095","初生之犊不怕虎","P",NA,NA
"34096","初写黄庭","P",NA,NA
"34097","初绽","P",NA,NA
"34098","初衷","P",NA,NA
"34099","除暴安良","P",NA,NA
"34100","除残去暴","P",NA,NA
"34101","除患宁乱","P",NA,NA
"34102","除旧布新","P",NA,NA
"34103","厨师","P",NA,NA
"34104","锄强扶弱","P",NA,NA
"34105","雏鸟","P",NA,NA
"34106","杵臼之交","P",NA,NA
"34107","楚楚动人","P",NA,NA
"34108","处之泰然","P",NA,NA
"34109","畜牧","P",NA,NA
"34110","触角","P",NA,NA
"34111","触类旁通","P",NA,NA
"34112","触手","P",NA,NA
"34113","触须","P",NA,NA
"34114","黜陟幽明","P",NA,NA
"34115","矗立","P",NA,NA
"34116","穿云裂石","P",NA,NA
"34117","传道授业","P",NA,NA
"34118","传灯","P",NA,NA
"34119","传经","P",NA,NA
"34120","传名","P",NA,NA
"34121","传奇性","P",NA,NA
"34122","传神","P",NA,NA
"34123","传世","P",NA,NA
"34124","传授","P",NA,NA
"34125","传诵","P",NA,NA
"34126","传颂","P",NA,NA
"34127","传统","P",NA,NA
"34128","传扬","P",NA,NA
"34129","窗明几净","P",NA,NA
"34130","闯将","P",NA,NA
"34131","闯劲","P",NA,NA
"34132","创办","P",NA,NA
"34133","创出","P",NA,NA
"34134","创汇","P",NA,NA
"34135","创获","P",NA,NA
"34136","创见","P",NA,NA
"34137","创建","P",NA,NA
"34138","创举","P",NA,NA
"34139","创刊","P",NA,NA
"34140","创立","P",NA,NA
"34141","创设","P",NA,NA
"34142","创始","P",NA,NA
"34143","创收","P",NA,NA
"34144","创树","P",NA,NA
"34145","创下","P",NA,NA
"34146","创新","P",NA,NA
"34147","创演","P",NA,NA
"34148","创业","P",NA,NA
"34149","创业垂统","P",NA,NA
"34150","创议","P",NA,NA
"34151","创意","P",NA,NA
"34152","创造","P",NA,NA
"34153","创造性","P",NA,NA
"34154","创制","P",NA,NA
"34155","创作","P",NA,NA
"34156","吹拂","P",NA,NA
"34157","吹灰之力","P",NA,NA
"34158","垂爱","P",NA,NA
"34159","垂钓","P",NA,NA
"34160","垂范","P",NA,NA
"34161","垂名竹帛","P",NA,NA
"34162","垂念","P",NA,NA
"34163","垂盼","P",NA,NA
"34164","垂手","P",NA,NA
"34165","垂手而得","P",NA,NA
"34166","垂询","P",NA,NA
"34167","锤炼","P",NA,NA
"34168","春潮","P",NA,NA
"34169","春风","P",NA,NA
"34170","春风得意","P",NA,NA
"34171","春风风人","P",NA,NA
"34172","春风化雨","P",NA,NA
"34173","春风满面","P",NA,NA
"34174","春风夏雨","P",NA,NA
"34175","春风雨露","P",NA,NA
"34176","春光","P",NA,NA
"34177","春牛","P",NA,NA
"34178","春暖花开","P",NA,NA
"34179","春色","P",NA,NA
"34180","春山","P",NA,NA
"34181","春山如笑","P",NA,NA
"34182","春深似海","P",NA,NA
"34183","春水","P",NA,NA
"34184","春心","P",NA,NA
"34185","春阳","P",NA,NA
"34186","春意","P",NA,NA
"34187","春意盎然","P",NA,NA
"34188","纯厚","P",NA,NA
"34189","纯洁","P",NA,NA
"34190","纯谨","P",NA,NA
"34191","纯净","P",NA,NA
"34192","纯良","P",NA,NA
"34193","纯美","P",NA,NA
"34194","纯朴","P",NA,NA
"34195","纯情","P",NA,NA
"34196","纯熟","P",NA,NA
"34197","纯贞","P",NA,NA
"34198","纯真","P",NA,NA
"34199","纯真无邪","P",NA,NA
"34200","纯正","P",NA,NA
"34201","纯挚","P",NA,NA
"34202","纯稚","P",NA,NA
"34203","唇齿相依","P",NA,NA
"34204","唇亡齿寒","P",NA,NA
"34205","淳朴","P",NA,NA
"34206","醇","P",NA,NA
"34207","醇厚","P",NA,NA
"34208","醇浓","P",NA,NA
"34209","醇朴","P",NA,NA
"34210","醇雅","P",NA,NA
"34211","踔绝之能","P",NA,NA
"34212","踔厉","P",NA,NA
"34213","绰绰有余","P",NA,NA
"34214","绰绰有裕","P",NA,NA
"34215","绰有余裕","P",NA,NA
"34216","绰约","P",NA,NA
"34217","绰约多姿","P",NA,NA
"34218","词锋","P",NA,NA
"34219","词华","P",NA,NA
"34220","词令","P",NA,NA
"34221","词穷理极","P",NA,NA
"34222","词藻","P",NA,NA
"34223","词章","P",NA,NA
"34224","词宗","P",NA,NA
"34225","瓷碗","P",NA,NA
"34226","慈悲为怀","P",NA,NA
"34227","慈怜","P",NA,NA
"34228","慈心","P",NA,NA
"34229","辞别","P",NA,NA
"34230","辞华","P",NA,NA
"34231","辞令","P",NA,NA
"34232","辞让","P",NA,NA
"34233","辞谢","P",NA,NA
"34234","辞行","P",NA,NA
"34235","辞章","P",NA,NA
"34236","辞宗","P",NA,NA
"34237","赐福","P",NA,NA
"34238","赐光","P",NA,NA
"34239","葱白","P",NA,NA
"34240","葱葱","P",NA,NA
"34241","葱翠","P",NA,NA
"34242","葱茏","P",NA,NA
"34243","葱笼","P",NA,NA
"34244","葱绿","P",NA,NA
"34245","葱茂","P",NA,NA
"34246","葱郁","P",NA,NA
"34247","璁珑","P",NA,NA
"34248","聪慧","P",NA,NA
"34249","聪敏","P",NA,NA
"34250","聪明","P",NA,NA
"34251","聪明才智","P",NA,NA
"34252","聪明过人","P",NA,NA
"34253","聪明绝顶","P",NA,NA
"34254","聪明伶俐","P",NA,NA
"34255","聪明能干","P",NA,NA
